Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       12.00% |        9.85% |       9.8584 |      13.7048 |          0.0010 |
|       1 |         600 |       00:00:14 |       97.00% |       97.90% |       0.0696 |       0.0671 |          0.0010 |
|       2 |        1200 |       00:00:26 |       97.00% |       98.35% |       0.0569 |       0.0559 |          0.0010 |
|       3 |        1800 |       00:00:38 |       98.00% |       98.24% |       0.0643 |       0.0537 |          0.0010 |
|       4 |        2400 |       00:00:51 |       99.00% |       98.11% |       0.0285 |       0.0578 |          0.0010 |
|       5 |        3000 |       00:01:04 |       98.00% |       98.27% |       0.0737 |       0.0598 |          0.0010 |
|       6 |        3600 |       00:01:16 |       99.00% |       98.18% |       0.0126 |       0.0637 |          0.0010 |
|       7 |        4200 |       00:01:29 |       99.00% |       98.42% |       0.0159 |       0.0506 |          0.0010 |
|       8 |        4800 |       00:01:42 |      100.00% |       98.77% |       0.0098 |       0.0472 |          0.0010 |
|       9 |        5400 |       00:01:55 |      100.00% |       98.74% |       0.0034 |       0.0516 |          0.0010 |
|      10 |        6000 |       00:02:08 |       99.00% |       98.77% |       0.0087 |       0.0460 |          0.0010 |
|      11 |        6600 |       00:02:21 |      100.00% |       98.37% |       0.0012 |       0.0622 |          0.0010 |
|      12 |        7200 |       00:02:34 |       99.00% |       98.46% |       0.0328 |       0.0626 |          0.0010 |
|      13 |        7800 |       00:02:46 |       98.00% |       98.95% |       0.0651 |       0.0451 |          0.0010 |
|      14 |        8400 |       00:02:59 |       99.00% |       98.09% |       0.0318 |       0.0781 |          0.0010 |
|      15 |        9000 |       00:03:12 |       99.00% |       98.79% |       0.0173 |       0.0552 |          0.0010 |
|      16 |        9600 |       00:03:24 |       99.00% |       98.76% |       0.0209 |       0.0559 |          0.0010 |
|      17 |       10200 |       00:03:37 |       99.00% |       98.24% |       0.0095 |       0.0767 |          0.0010 |
|      18 |       10800 |       00:03:49 |       99.00% |       98.64% |       0.0324 |       0.0631 |          0.0010 |
|      19 |       11400 |       00:04:02 |      100.00% |       99.03% |       0.0001 |       0.0422 |          0.0010 |
