Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      58 |       69600 |       00:23:04 |       96.00% |       97.19% |       0.1301 |       0.1900 |          0.0010 |
|      59 |       70800 |       00:23:27 |      100.00% |       97.99% |   3.4023e-06 |       0.1004 |          0.0010 |
|      60 |       72000 |       00:23:51 |       98.00% |       97.30% |       0.1049 |       0.1162 |          0.0010 |
|      61 |       73200 |       00:24:14 |       98.00% |       98.38% |       0.1889 |       0.0784 |          0.0010 |
|      62 |       74400 |       00:24:37 |       58.00% |       71.61% |       0.9410 |       0.6959 |          0.0010 |
|      63 |       75600 |       00:25:00 |      100.00% |       97.51% |       0.1158 |       0.1862 |          0.0010 |
|      64 |       76800 |       00:25:23 |       82.00% |       86.98% |       0.4284 |       0.3853 |          0.0010 |
|      65 |       78000 |       00:25:46 |       90.00% |       88.74% |       0.4966 |       0.3799 |          0.0010 |
|      66 |       79200 |       00:26:10 |       92.00% |       95.53% |       0.3505 |       0.1581 |          0.0010 |
|      67 |       80400 |       00:26:33 |       78.00% |       77.37% |       0.8295 |       0.7016 |          0.0010 |
|      68 |       81600 |       00:26:56 |       62.00% |       69.39% |       1.0921 |       0.9514 |          0.0010 |
|      69 |       82800 |       00:27:19 |       72.00% |       70.43% |       0.7075 |       0.7578 |          0.0010 |
|      70 |       84000 |       00:27:42 |       84.00% |       85.61% |       0.3450 |       0.3888 |          0.0010 |
|      71 |       85200 |       00:28:05 |       84.00% |       84.22% |       0.3919 |       0.5538 |          0.0010 |
|      72 |       86400 |       00:28:28 |       56.00% |       50.81% |       1.5886 |       1.6158 |          0.0010 |
|      73 |       87600 |       00:28:51 |       68.00% |       67.36% |       0.7109 |       0.8348 |          0.0010 |
|      74 |       88800 |       00:29:14 |       50.00% |       62.78% |       0.9631 |       0.9584 |          0.0010 |
|      75 |       90000 |       00:29:37 |       80.00% |       75.93% |       0.4284 |       0.6147 |          0.0010 |
|      76 |       91200 |       00:30:00 |       64.00% |       56.57% |       0.9798 |       1.1584 |          0.0010 |
|      77 |       92400 |       00:30:23 |       88.00% |       86.93% |       0.5789 |       0.4018 |          0.0010 |
|      78 |       93600 |       00:30:46 |       78.00% |       65.67% |       0.6455 |       0.9748 |          0.0010 |
