Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       13.00% |        9.83% |       9.5242 |      14.2047 |          0.0010 |
|       1 |         200 |       00:00:04 |       98.33% |       96.90% |       0.0689 |       0.0962 |          0.0010 |
|       2 |         400 |       00:00:09 |       96.67% |       97.83% |       0.1139 |       0.0676 |          0.0010 |
|       3 |         600 |       00:00:13 |       98.33% |       98.55% |       0.0942 |       0.0474 |          0.0010 |
|       4 |         800 |       00:00:17 |      100.00% |       98.64% |       0.0069 |       0.0439 |          0.0010 |
|       5 |        1000 |       00:00:22 |       99.33% |       98.47% |       0.0434 |       0.0501 |          0.0010 |
|       6 |        1200 |       00:00:26 |       99.67% |       98.42% |       0.0124 |       0.0532 |          0.0010 |
|       7 |        1400 |       00:00:30 |       99.33% |       98.94% |       0.0236 |       0.0397 |          0.0010 |
|       8 |        1600 |       00:00:34 |       99.67% |       98.78% |       0.0097 |       0.0498 |          0.0010 |
|       9 |        1800 |       00:00:39 |       99.67% |       98.67% |       0.0112 |       0.0527 |          0.0010 |
|      10 |        2000 |       00:00:43 |       99.33% |       98.58% |       0.0303 |       0.0535 |          0.0010 |
|      11 |        2200 |       00:00:47 |       99.67% |       98.83% |       0.0061 |       0.0487 |          0.0010 |
|      12 |        2400 |       00:00:52 |       98.67% |       98.56% |       0.0404 |       0.0561 |          0.0010 |
|      13 |        2600 |       00:00:56 |       99.33% |       98.63% |       0.0145 |       0.0569 |          0.0010 |
|      14 |        2800 |       00:01:01 |      100.00% |       98.79% |       0.0075 |       0.0501 |          0.0010 |
|      15 |        3000 |       00:01:05 |       99.67% |       98.58% |       0.0079 |       0.0604 |          0.0010 |
|      16 |        3200 |       00:01:10 |       99.67% |       98.73% |       0.0112 |       0.0590 |          0.0010 |
|      17 |        3400 |       00:01:14 |       99.33% |       98.62% |       0.0096 |       0.0577 |          0.0010 |
|      18 |        3600 |       00:01:19 |       99.33% |       98.97% |       0.0223 |       0.0498 |          0.0010 |
|      19 |        3800 |       00:01:23 |       99.67% |       98.82% |       0.0085 |       0.0602 |          0.0010 |
