Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:06 |       11.50% |        9.82% |       9.5761 |      14.3017 |          0.0010 |
|       1 |         100 |       00:00:10 |       95.00% |       95.59% |       0.1730 |       0.1381 |          0.0010 |
|       2 |         200 |       00:00:13 |       97.50% |       97.43% |       0.0882 |       0.0800 |          0.0010 |
|       3 |         300 |       00:00:16 |       97.33% |       98.03% |       0.1136 |       0.0626 |          0.0010 |
|       4 |         400 |       00:00:18 |       99.00% |       98.43% |       0.0290 |       0.0502 |          0.0010 |
|       5 |         500 |       00:00:21 |       99.33% |       98.37% |       0.0302 |       0.0535 |          0.0010 |
|       6 |         600 |       00:00:24 |       98.83% |       98.42% |       0.0337 |       0.0484 |          0.0010 |
|       7 |         700 |       00:00:27 |       98.83% |       98.74% |       0.0400 |       0.0421 |          0.0010 |
|       8 |         800 |       00:00:30 |       99.33% |       98.53% |       0.0247 |       0.0461 |          0.0010 |
|       9 |         900 |       00:00:33 |       99.50% |       98.73% |       0.0180 |       0.0396 |          0.0010 |
|      10 |        1000 |       00:00:36 |      100.00% |       98.79% |       0.0040 |       0.0424 |          0.0010 |
|      11 |        1100 |       00:00:38 |       99.67% |       98.86% |       0.0110 |       0.0375 |          0.0010 |
|      12 |        1200 |       00:00:41 |       99.83% |       98.85% |       0.0072 |       0.0417 |          0.0010 |
|      13 |        1300 |       00:00:44 |       99.50% |       98.69% |       0.0106 |       0.0446 |          0.0010 |
|      14 |        1400 |       00:00:47 |       99.83% |       98.86% |       0.0063 |       0.0394 |          0.0010 |
|      15 |        1500 |       00:00:50 |       99.83% |       98.91% |       0.0046 |       0.0391 |          0.0010 |
|      16 |        1600 |       00:00:53 |       99.67% |       98.87% |       0.0089 |       0.0384 |          0.0010 |
|      17 |        1700 |       00:00:55 |       99.83% |       98.74% |       0.0056 |       0.0450 |          0.0010 |
|      18 |        1800 |       00:00:58 |       99.50% |       98.83% |       0.0071 |       0.0447 |          0.0010 |
|      19 |        1900 |       00:01:01 |      100.00% |       98.91% |       0.0018 |       0.0426 |          0.0010 |
|      20 |        2000 |       00:01:04 |      100.00% |       98.93% |       0.0022 |       0.0473 |          0.0010 |
