Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      58 |        5800 |       01:06:02 |       99.67% |       98.63% |       0.0092 |       0.0865 |          0.0010 |
|      59 |        5900 |       01:07:12 |       99.83% |       98.87% |       0.0029 |       0.0703 |          0.0010 |
|      60 |        6000 |       01:08:21 |       99.67% |       98.78% |       0.0175 |       0.0772 |          0.0010 |
|      61 |        6100 |       01:09:29 |       99.50% |       98.76% |       0.0087 |       0.0746 |          0.0010 |
|      62 |        6200 |       01:10:37 |       99.67% |       98.94% |       0.0092 |       0.0699 |          0.0010 |
|      63 |        6300 |       01:11:46 |      100.00% |       99.02% |       0.0002 |       0.0601 |          0.0010 |
|      64 |        6400 |       01:12:54 |       99.50% |       99.05% |       0.0220 |       0.0568 |          0.0010 |
|      65 |        6500 |       01:14:02 |       99.83% |       99.11% |       0.0029 |       0.0585 |          0.0010 |
|      66 |        6600 |       01:15:10 |       99.67% |       99.01% |       0.0151 |       0.0731 |          0.0010 |
|      67 |        6700 |       01:16:19 |      100.00% |       98.98% |       0.0003 |       0.0672 |          0.0010 |
|      68 |        6800 |       01:17:27 |      100.00% |       98.69% |       0.0001 |       0.0845 |          0.0010 |
|      69 |        6900 |       01:18:36 |      100.00% |       98.86% |       0.0003 |       0.0760 |          0.0010 |
|      70 |        7000 |       01:19:44 |       99.83% |       98.71% |       0.0025 |       0.1026 |          0.0010 |
|      71 |        7100 |       01:20:53 |       99.83% |       98.98% |       0.0075 |       0.0695 |          0.0010 |
|      72 |        7200 |       01:22:01 |       99.00% |       98.89% |       0.0334 |       0.0813 |          0.0010 |
|      73 |        7300 |       01:23:09 |       99.83% |       99.00% |       0.0018 |       0.0810 |          0.0010 |
|      74 |        7400 |       01:24:18 |      100.00% |       99.02% |   5.9964e-05 |       0.0724 |          0.0010 |
|      75 |        7500 |       01:25:26 |       99.50% |       98.94% |       0.0110 |       0.0707 |          0.0010 |
|      76 |        7600 |       01:26:34 |       99.83% |       98.92% |       0.0044 |       0.0700 |          0.0010 |
|      77 |        7700 |       01:27:43 |       99.83% |       98.78% |       0.0108 |       0.0843 |          0.0010 |
|      78 |        7800 |       01:28:51 |       99.83% |       99.05% |       0.0043 |       0.0734 |          0.0010 |
|      79 |        7900 |       01:30:00 |       99.83% |       98.75% |       0.0208 |       0.0918 |          0.0010 |
|      80 |        8000 |       01:31:08 |      100.00% |       99.03% |   7.9309e-05 |       0.0741 |          0.0010 |
|      81 |        8100 |       01:32:17 |       99.83% |       99.12% |       0.0065 |       0.0667 |          0.0010 |
|      82 |        8200 |       01:33:25 |       99.50% |       98.88% |       0.0267 |       0.0833 |          0.0010 |
|      83 |        8300 |       01:34:33 |       99.50% |       98.83% |       0.0199 |       0.0870 |          0.0010 |
|      84 |        8400 |       01:35:42 |       99.83% |       98.73% |       0.0049 |       0.0937 |          0.0010 |
|      85 |        8500 |       01:36:50 |      100.00% |       98.89% |   7.7337e-05 |       0.0871 |          0.0010 |
|      86 |        8600 |       01:37:58 |      100.00% |       98.98% |       0.0001 |       0.0718 |          0.0010 |
|      87 |        8700 |       01:39:07 |      100.00% |       98.97% |       0.0012 |       0.0770 |          0.0010 |
|      88 |        8800 |       01:40:15 |       99.83% |       99.17% |       0.0026 |       0.0708 |          0.0010 |
|      89 |        8900 |       01:41:24 |       99.83% |       98.93% |       0.0044 |       0.0698 |          0.0010 |
|      90 |        9000 |       01:42:32 |       99.83% |       98.85% |       0.0028 |       0.0871 |          0.0010 |
