Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       11.50% |        9.82% |       9.5761 |      14.3017 |          0.0010 |
|       1 |         100 |       00:00:21 |       94.83% |       95.70% |       0.1705 |       0.1385 |          0.0010 |
|       2 |         200 |       00:00:40 |       97.67% |       97.59% |       0.0859 |       0.0782 |          0.0010 |
|       3 |         300 |       00:00:59 |       97.17% |       97.97% |       0.1025 |       0.0633 |          0.0010 |
|       4 |         400 |       00:01:18 |       99.00% |       98.38% |       0.0275 |       0.0516 |          0.0010 |
|       5 |         500 |       00:01:37 |       98.83% |       98.50% |       0.0292 |       0.0504 |          0.0010 |
|       6 |         600 |       00:01:57 |       98.50% |       98.42% |       0.0349 |       0.0473 |          0.0010 |
|       7 |         700 |       00:02:16 |       98.83% |       98.79% |       0.0328 |       0.0421 |          0.0010 |
|       8 |         800 |       00:02:35 |       99.33% |       98.63% |       0.0217 |       0.0415 |          0.0010 |
|       9 |         900 |       00:02:54 |       99.33% |       98.70% |       0.0124 |       0.0434 |          0.0010 |
|      10 |        1000 |       00:03:14 |      100.00% |       98.79% |       0.0032 |       0.0417 |          0.0010 |
|      11 |        1100 |       00:03:33 |       99.50% |       98.82% |       0.0171 |       0.0421 |          0.0010 |
|      12 |        1200 |       00:03:52 |       99.67% |       98.85% |       0.0103 |       0.0455 |          0.0010 |
|      13 |        1300 |       00:04:11 |       99.33% |       98.81% |       0.0190 |       0.0421 |          0.0010 |
|      14 |        1400 |       00:04:31 |       99.67% |       98.82% |       0.0075 |       0.0430 |          0.0010 |
|      15 |        1500 |       00:04:50 |      100.00% |       98.89% |       0.0045 |       0.0418 |          0.0010 |
|      16 |        1600 |       00:05:09 |       99.50% |       98.76% |       0.0102 |       0.0468 |          0.0010 |
|      17 |        1700 |       00:05:28 |      100.00% |       98.77% |       0.0029 |       0.0494 |          0.0010 |
|      18 |        1800 |       00:05:48 |      100.00% |       98.78% |       0.0015 |       0.0484 |          0.0010 |
|      19 |        1900 |       00:06:07 |       99.67% |       98.79% |       0.0074 |       0.0509 |          0.0010 |
|      20 |        2000 |       00:06:26 |       99.50% |       98.76% |       0.0118 |       0.0534 |          0.0010 |
