Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|      21 |        2100 |       00:06:45 |       99.50% |       98.57% |       0.0128 |       0.0642 |          0.0010 |
|      22 |        2200 |       00:07:04 |       99.67% |       98.81% |       0.0157 |       0.0524 |          0.0010 |
|      23 |        2300 |       00:07:24 |       99.83% |       98.91% |       0.0050 |       0.0521 |          0.0010 |
|      24 |        2400 |       00:07:43 |       99.50% |       98.63% |       0.0075 |       0.0614 |          0.0010 |
|      25 |        2500 |       00:08:02 |      100.00% |       98.69% |       0.0015 |       0.0532 |          0.0010 |
|      26 |        2600 |       00:08:21 |       99.67% |       98.73% |       0.0077 |       0.0532 |          0.0010 |
|      27 |        2700 |       00:08:41 |       99.17% |       98.63% |       0.0195 |       0.0643 |          0.0010 |
|      28 |        2800 |       00:09:00 |       99.83% |       98.72% |       0.0085 |       0.0589 |          0.0010 |
|      29 |        2900 |       00:09:19 |       99.33% |       98.47% |       0.0139 |       0.0741 |          0.0010 |
|      30 |        3000 |       00:09:38 |       99.67% |       98.84% |       0.0089 |       0.0560 |          0.0010 |
|      31 |        3100 |       00:09:57 |       99.67% |       98.94% |       0.0039 |       0.0546 |          0.0010 |
|      32 |        3200 |       00:10:16 |       99.67% |       98.70% |       0.0088 |       0.0583 |          0.0010 |
|      33 |        3300 |       00:10:35 |      100.00% |       98.77% |       0.0004 |       0.0602 |          0.0010 |
|      34 |        3400 |       00:10:55 |       99.83% |       98.74% |       0.0028 |       0.0591 |          0.0010 |
|      35 |        3500 |       00:11:14 |       99.50% |       98.75% |       0.0162 |       0.0555 |          0.0010 |
|      36 |        3600 |       00:11:33 |       99.50% |       98.65% |       0.0252 |       0.0677 |          0.0010 |
|      37 |        3700 |       00:11:52 |      100.00% |       98.60% |       0.0026 |       0.0736 |          0.0010 |
|      38 |        3800 |       00:12:11 |      100.00% |       98.99% |       0.0016 |       0.0540 |          0.0010 |
|      39 |        3900 |       00:12:31 |      100.00% |       98.73% |       0.0008 |       0.0680 |          0.0010 |
|      40 |        4000 |       00:12:50 |       99.17% |       98.78% |       0.0390 |       0.0674 |          0.0010 |
|      41 |        4100 |       00:13:09 |      100.00% |       98.59% |       0.0011 |       0.0793 |          0.0010 |
|      42 |        4200 |       00:13:28 |      100.00% |       98.85% |       0.0007 |       0.0574 |          0.0010 |
|      43 |        4300 |       00:13:48 |       99.83% |       98.72% |       0.0049 |       0.0670 |          0.0010 |
|      44 |        4400 |       00:14:07 |      100.00% |       98.80% |       0.0003 |       0.0709 |          0.0010 |
|      45 |        4500 |       00:14:26 |       99.17% |       98.73% |       0.0215 |       0.0735 |          0.0010 |
|      46 |        4600 |       00:14:45 |       99.17% |       98.21% |       0.0289 |       0.1071 |          0.0010 |
|      47 |        4700 |       00:15:04 |       99.67% |       98.83% |       0.0050 |       0.0727 |          0.0010 |
|      48 |        4800 |       00:15:24 |      100.00% |       98.90% |   6.0826e-05 |       0.0660 |          0.0010 |
|      49 |        4900 |       00:15:43 |       99.83% |       99.01% |       0.0024 |       0.0675 |          0.0010 |
|      50 |        5000 |       00:16:02 |       99.83% |       98.97% |       0.0038 |       0.0612 |          0.0010 |
|      51 |        5100 |       00:16:21 |       99.83% |       98.57% |       0.0115 |       0.0858 |          0.0010 |
|      52 |        5200 |       00:16:41 |       99.67% |       99.02% |       0.0131 |       0.0560 |          0.0010 |
|      53 |        5300 |       00:17:00 |       99.67% |       98.95% |       0.0095 |       0.0687 |          0.0010 |
|      54 |        5400 |       00:17:19 |      100.00% |       98.85% |       0.0010 |       0.0683 |          0.0010 |
|      55 |        5500 |       00:17:39 |      100.00% |       98.57% |       0.0017 |       0.0896 |          0.0010 |
|      56 |        5600 |       00:17:58 |       99.83% |       98.74% |       0.0059 |       0.0753 |          0.0010 |
|      57 |        5700 |       00:18:17 |       99.67% |       98.97% |       0.0101 |       0.0671 |          0.0010 |
|      58 |        5800 |       00:18:36 |       99.83% |       98.85% |       0.0025 |       0.0747 |          0.0010 |
|      59 |        5900 |       00:18:56 |       99.83% |       98.62% |       0.0109 |       0.0845 |          0.0010 |
|      60 |        6000 |       00:19:15 |      100.00% |       98.89% |       0.0004 |       0.0726 |          0.0010 |
|      61 |        6100 |       00:19:34 |      100.00% |       98.87% |       0.0012 |       0.0713 |          0.0010 |
|      62 |        6200 |       00:19:54 |       99.83% |       98.82% |       0.0041 |       0.0774 |          0.0010 |
|      63 |        6300 |       00:20:13 |       99.50% |       98.73% |       0.0271 |       0.0875 |          0.0010 |
|      64 |        6400 |       00:20:32 |       99.83% |       98.65% |       0.0078 |       0.0828 |          0.0010 |
|      65 |        6500 |       00:20:51 |       99.17% |       98.63% |       0.0373 |       0.0925 |          0.0010 |
|      66 |        6600 |       00:21:11 |       99.67% |       98.85% |       0.0049 |       0.0921 |          0.0010 |
|      67 |        6700 |       00:21:30 |       99.83% |       98.59% |       0.0037 |       0.0878 |          0.0010 |
|      68 |        6800 |       00:21:49 |       99.83% |       98.81% |       0.0085 |       0.0768 |          0.0010 |
|      69 |        6900 |       00:22:09 |      100.00% |       98.92% |       0.0002 |       0.0777 |          0.0010 |
|      70 |        7000 |       00:22:28 |       99.50% |       98.96% |       0.0133 |       0.0686 |          0.0010 |
|      71 |        7100 |       00:22:47 |       99.83% |       98.71% |       0.0067 |       0.0784 |          0.0010 |
|      72 |        7200 |       00:23:06 |      100.00% |       98.93% |       0.0005 |       0.0715 |          0.0010 |
|      73 |        7300 |       00:23:26 |      100.00% |       98.80% |       0.0005 |       0.0914 |          0.0010 |
|      74 |        7400 |       00:23:45 |       99.83% |       98.90% |       0.0037 |       0.0788 |          0.0010 |
|      75 |        7500 |       00:24:04 |       99.83% |       98.95% |       0.0105 |       0.0802 |          0.0010 |
|      76 |        7600 |       00:24:23 |       99.83% |       98.51% |       0.0081 |       0.1051 |          0.0010 |
|      77 |        7700 |       00:24:42 |       99.33% |       98.97% |       0.0191 |       0.0719 |          0.0010 |
|      78 |        7800 |       00:25:02 |       99.83% |       98.99% |       0.0156 |       0.0693 |          0.0010 |
|      79 |        7900 |       00:25:21 |       99.83% |       98.85% |       0.0019 |       0.0785 |          0.0010 |
|      80 |        8000 |       00:25:40 |       99.83% |       98.96% |       0.0112 |       0.0848 |          0.0010 |
|      81 |        8100 |       00:26:00 |      100.00% |       99.04% |       0.0008 |       0.0782 |          0.0010 |
|      82 |        8200 |       00:26:19 |       99.83% |       99.10% |       0.0071 |       0.0741 |          0.0010 |
|      83 |        8300 |       00:26:38 |       99.83% |       99.09% |       0.0066 |       0.0855 |          0.0010 |
|      84 |        8400 |       00:26:57 |       99.67% |       98.86% |       0.0044 |       0.0814 |          0.0010 |
|      85 |        8500 |       00:27:16 |      100.00% |       98.72% |       0.0004 |       0.1095 |          0.0010 |
|      86 |        8600 |       00:27:36 |      100.00% |       98.84% |       0.0001 |       0.0915 |          0.0010 |
|      87 |        8700 |       00:27:55 |      100.00% |       98.88% |       0.0001 |       0.0869 |          0.0010 |
|      88 |        8800 |       00:28:14 |       99.83% |       98.86% |       0.0043 |       0.0903 |          0.0010 |
|      89 |        8900 |       00:28:34 |      100.00% |       98.91% |       0.0010 |       0.0847 |          0.0010 |
|      90 |        9000 |       00:28:53 |      100.00% |       99.07% |       0.0002 |       0.0724 |          0.0010 |
|      91 |        9100 |       00:29:12 |       99.83% |       99.00% |       0.0058 |       0.0724 |          0.0010 |
|      92 |        9200 |       00:29:31 |       99.83% |       98.97% |       0.0024 |       0.0803 |          0.0010 |
|      93 |        9300 |       00:29:50 |       99.33% |       98.98% |       0.0115 |       0.0814 |          0.0010 |
|      94 |        9400 |       00:30:10 |      100.00% |       99.03% |   3.1460e-05 |       0.0732 |          0.0010 |
|      95 |        9500 |       00:30:29 |       99.83% |       99.10% |       0.0019 |       0.0729 |          0.0010 |
|      96 |        9600 |       00:30:48 |       99.83% |       98.96% |       0.0049 |       0.0770 |          0.0010 |
|      97 |        9700 |       00:31:08 |       99.50% |       98.85% |       0.0422 |       0.0908 |          0.0010 |
|      98 |        9800 |       00:31:27 |      100.00% |       98.98% |   8.1082e-05 |       0.0748 |          0.0010 |
|      99 |        9900 |       00:31:46 |      100.00% |       99.04% |   9.2632e-05 |       0.0724 |          0.0010 |
|     100 |       10000 |       00:32:06 |      100.00% |       99.01% |       0.0007 |       0.0853 |          0.0010 |
|======================================================================================================================|

ans = 

    "--->Total time: 1929.06"

    0.9901
