Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       12.50% |        9.83% |       9.7066 |      13.9938 |          0.0010 |
|       1 |         300 |       00:00:06 |       98.50% |       96.91% |       0.0781 |       0.0948 |          0.0010 |
|       2 |         600 |       00:00:13 |       99.00% |       98.29% |       0.0611 |       0.0502 |          0.0010 |
|       3 |         900 |       00:00:20 |       96.50% |       98.70% |       0.1344 |       0.0403 |          0.0010 |
|       4 |        1200 |       00:00:26 |       99.50% |       98.04% |       0.0146 |       0.0630 |          0.0010 |
|       5 |        1500 |       00:00:33 |       99.50% |       98.49% |       0.0296 |       0.0486 |          0.0010 |
|       6 |        1800 |       00:00:39 |       98.50% |       98.55% |       0.0607 |       0.0504 |          0.0010 |
|       7 |        2100 |       00:00:46 |       98.50% |       98.82% |       0.0232 |       0.0385 |          0.0010 |
|       8 |        2400 |       00:00:52 |       99.00% |       98.55% |       0.0221 |       0.0503 |          0.0010 |
|       9 |        2700 |       00:00:59 |      100.00% |       98.92% |       0.0022 |       0.0421 |          0.0010 |
|      10 |        3000 |       00:01:05 |       98.50% |       98.54% |       0.0376 |       0.0652 |          0.0010 |
|      11 |        3300 |       00:01:12 |      100.00% |       98.89% |       0.0012 |       0.0439 |          0.0010 |
|      12 |        3600 |       00:01:18 |       98.50% |       99.04% |       0.0171 |       0.0381 |          0.0010 |
|      13 |        3900 |       00:01:24 |       99.50% |       99.03% |       0.0130 |       0.0402 |          0.0010 |
|      14 |        4200 |       00:01:31 |      100.00% |       99.08% |       0.0038 |       0.0369 |          0.0010 |
|      15 |        4500 |       00:01:37 |       99.50% |       98.56% |       0.0160 |       0.0605 |          0.0010 |
|      16 |        4800 |       00:01:44 |       99.50% |       98.92% |       0.0123 |       0.0451 |          0.0010 |
|      17 |        5100 |       00:01:50 |       99.50% |       98.73% |       0.0101 |       0.0593 |          0.0010 |
|      18 |        5400 |       00:01:57 |       99.50% |       98.93% |       0.0178 |       0.0384 |          0.0010 |
|      19 |        5700 |       00:02:03 |       99.50% |       98.72% |       0.0108 |       0.0562 |          0.0010 |
