Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|      20 |       24000 |       00:07:11 |      100.00% |       98.29% |       0.0175 |       0.0740 |          0.0010 |
|      21 |       25200 |       00:07:32 |      100.00% |       98.79% |   6.2719e-05 |       0.0725 |          0.0010 |
|      22 |       26400 |       00:07:54 |      100.00% |       99.02% |       0.0002 |       0.0508 |          0.0010 |
|      23 |       27600 |       00:08:15 |       98.00% |       99.10% |       0.0573 |       0.0508 |          0.0010 |
|      24 |       28800 |       00:08:37 |      100.00% |       98.87% |       0.0006 |       0.0529 |          0.0010 |
|      25 |       30000 |       00:08:59 |       98.00% |       98.80% |       0.0448 |       0.0607 |          0.0010 |
|      26 |       31200 |       00:09:20 |      100.00% |       98.89% |       0.0023 |       0.0620 |          0.0010 |
|      27 |       32400 |       00:09:42 |      100.00% |       99.00% |   2.4477e-05 |       0.0608 |          0.0010 |
|      28 |       33600 |       00:10:03 |       98.00% |       98.52% |       0.3191 |       0.0749 |          0.0010 |
|      29 |       34800 |       00:10:25 |      100.00% |       98.33% |       0.0038 |       0.0826 |          0.0010 |
|      30 |       36000 |       00:10:46 |      100.00% |       98.84% |       0.0088 |       0.0604 |          0.0010 |
|      31 |       37200 |       00:11:08 |       98.00% |       98.14% |       0.0401 |       0.0971 |          0.0010 |
|      32 |       38400 |       00:11:29 |      100.00% |       98.92% |       0.0010 |       0.0615 |          0.0010 |
|      33 |       39600 |       00:11:51 |       98.00% |       98.62% |       0.0434 |       0.0661 |          0.0010 |
|      34 |       40800 |       00:12:12 |      100.00% |       98.94% |       0.0170 |       0.0642 |          0.0010 |
|      35 |       42000 |       00:12:34 |      100.00% |       98.59% |       0.0004 |       0.0756 |          0.0010 |
|      36 |       43200 |       00:12:55 |       98.00% |       99.05% |       0.0473 |       0.0551 |          0.0010 |
|      37 |       44400 |       00:13:17 |       96.00% |       97.32% |       0.1741 |       0.1232 |          0.0010 |
|      38 |       45600 |       00:13:39 |      100.00% |       98.90% |   1.8707e-05 |       0.0729 |          0.0010 |
|      39 |       46800 |       00:14:01 |       94.00% |       98.09% |       0.2625 |       0.0881 |          0.0010 |
|      40 |       48000 |       00:14:22 |       94.00% |       98.69% |       0.1451 |       0.0642 |          0.0010 |
|      41 |       49200 |       00:14:44 |       98.00% |       98.45% |       0.0467 |       0.0812 |          0.0010 |
|      42 |       50400 |       00:15:05 |       96.00% |       98.88% |       0.1102 |       0.0688 |          0.0010 |
|      43 |       51600 |       00:15:27 |      100.00% |       97.91% |       0.0088 |       0.1070 |          0.0010 |
|      44 |       52800 |       00:15:48 |       96.00% |       96.47% |       0.1611 |       0.1513 |          0.0010 |
|      45 |       54000 |       00:16:10 |       98.00% |       98.37% |       0.1472 |       0.0840 |          0.0010 |
|      46 |       55200 |       00:16:31 |       98.00% |       98.48% |       0.1187 |       0.0753 |          0.0010 |
|      47 |       56400 |       00:16:53 |      100.00% |       98.14% |       0.0055 |       0.0843 |          0.0010 |
|      48 |       57600 |       00:17:14 |      100.00% |       98.96% |       0.0027 |       0.0608 |          0.0010 |
|      49 |       58800 |       00:17:36 |       98.00% |       98.40% |       0.1180 |       0.0838 |          0.0010 |
|      50 |       60000 |       00:17:57 |       88.00% |       95.42% |       0.4250 |       0.1877 |          0.0010 |
|      51 |       61200 |       00:18:19 |       94.00% |       96.07% |       0.1609 |       0.1498 |          0.0010 |
|      52 |       62400 |       00:18:40 |       96.00% |       96.73% |       0.3924 |       0.2117 |          0.0010 |
|      53 |       63600 |       00:19:02 |       98.00% |       98.51% |       0.0828 |       0.0883 |          0.0010 |
|      54 |       64800 |       00:19:23 |       98.00% |       98.07% |       0.0958 |       0.1028 |          0.0010 |
|      55 |       66000 |       00:19:45 |       80.00% |       71.45% |       0.4404 |       0.6711 |          0.0010 |
|      56 |       67200 |       00:20:07 |       94.00% |       94.55% |       0.1604 |       0.2237 |          0.0010 |
|      57 |       68400 |       00:20:28 |       90.00% |       90.23% |       0.2674 |       0.4256 |          0.0010 |
|      58 |       69600 |       00:20:50 |       74.00% |       86.07% |       0.4594 |       0.3088 |          0.0010 |
|      59 |       70800 |       00:21:11 |       98.00% |       96.97% |       0.1061 |       0.1151 |          0.0010 |
|      60 |       72000 |       00:21:33 |       98.00% |       97.90% |       0.0678 |       0.1186 |          0.0010 |
|      61 |       73200 |       00:21:54 |       90.00% |       86.51% |       0.2519 |       0.3779 |          0.0010 |
|      62 |       74400 |       00:22:16 |       98.00% |       96.88% |       0.0751 |       0.2307 |          0.0010 |
|      63 |       75600 |       00:22:37 |      100.00% |       87.27% |       0.0590 |       0.3821 |          0.0010 |
|      64 |       76800 |       00:22:59 |       96.00% |       95.87% |       0.1736 |       0.1767 |          0.0010 |
|      65 |       78000 |       00:23:20 |       96.00% |       95.98% |       0.0689 |       0.1343 |          0.0010 |
|      66 |       79200 |       00:23:42 |       80.00% |       75.97% |       0.3964 |       0.5600 |          0.0010 |
|      67 |       80400 |       00:24:03 |       92.00% |       83.25% |       0.2630 |       0.5038 |          0.0010 |
|      68 |       81600 |       00:24:25 |       98.00% |       95.71% |       0.1625 |       0.2472 |          0.0010 |
|      69 |       82800 |       00:24:47 |       96.00% |       94.85% |       0.1369 |       0.2299 |          0.0010 |
|      70 |       84000 |       00:25:08 |       78.00% |       79.69% |       1.1920 |       0.6601 |          0.0010 |
|      71 |       85200 |       00:25:29 |       72.00% |       77.06% |       0.6403 |       0.5635 |          0.0010 |
|      72 |       86400 |       00:25:51 |       50.00% |       67.58% |       1.1728 |       0.8905 |          0.0010 |
|      73 |       87600 |       00:26:13 |       62.00% |       74.30% |       0.7372 |       0.6720 |          0.0010 |
|      74 |       88800 |       00:26:34 |       82.00% |       77.66% |       0.4354 |       0.5638 |          0.0010 |
|      75 |       90000 |       00:26:56 |       86.00% |       77.96% |       0.5873 |       0.5124 |          0.0010 |
|      76 |       91200 |       00:27:17 |       92.00% |       88.31% |       0.2695 |       0.3513 |          0.0010 |
|      77 |       92400 |       00:27:39 |      100.00% |       95.52% |       0.0502 |       0.2216 |          0.0010 |
|      78 |       93600 |       00:28:00 |       70.00% |       65.01% |       1.0768 |       1.1642 |          0.0010 |
|      79 |       94800 |       00:28:22 |       44.00% |       50.49% |       1.3013 |       1.1025 |          0.0010 |
|      80 |       96000 |       00:28:43 |       54.00% |       62.39% |       0.9073 |       0.9481 |          0.0010 |
|      81 |       97200 |       00:29:05 |       64.00% |       69.33% |       0.9989 |       0.6983 |          0.0010 |
|      82 |       98400 |       00:29:26 |       76.00% |       69.26% |       0.8348 |       0.6050 |          0.0010 |
|      83 |       99600 |       00:29:48 |       44.00% |       46.99% |       1.3598 |       1.2397 |          0.0010 |
|      84 |      100800 |       00:30:09 |       74.00% |       66.70% |       0.6644 |       0.7681 |          0.0010 |
|      85 |      102000 |       00:30:31 |       72.00% |       66.73% |       0.5949 |       0.7325 |          0.0010 |
|      86 |      103200 |       00:30:53 |       70.00% |       66.38% |       0.5139 |       0.7045 |          0.0010 |
|      87 |      104400 |       00:31:14 |       82.00% |       67.94% |       0.5528 |       0.7016 |          0.0010 |
|      88 |      105600 |       00:31:36 |       60.00% |       65.47% |       0.7393 |       0.8899 |          0.0010 |
|      89 |      106800 |       00:31:57 |       74.00% |       73.76% |       0.4632 |       0.6922 |          0.0010 |
|      90 |      108000 |       00:32:19 |       66.00% |       75.46% |       0.7296 |       0.6723 |          0.0010 |
|      91 |      109200 |       00:32:40 |       70.00% |       76.88% |       0.7724 |       0.6247 |          0.0010 |
|      92 |      110400 |       00:33:02 |       66.00% |       71.30% |       0.9366 |       0.6287 |          0.0010 |
|      93 |      111600 |       00:33:23 |       72.00% |       63.32% |       0.9299 |       0.9154 |          0.0010 |
|      94 |      112800 |       00:33:45 |       60.00% |       66.44% |       0.7430 |       0.7919 |          0.0010 |
|      95 |      114000 |       00:34:06 |       66.00% |       60.07% |       0.5756 |       0.7738 |          0.0010 |
|      96 |      115200 |       00:34:28 |       78.00% |       77.60% |       0.4615 |       0.5330 |          0.0010 |
|      97 |      116400 |       00:34:50 |       76.00% |       72.09% |       0.6800 |       0.7554 |          0.0010 |
|      98 |      117600 |       00:35:11 |       68.00% |       48.92% |       0.9338 |       0.9812 |          0.0010 |
|      99 |      118800 |       00:35:33 |       82.00% |       69.14% |       0.4918 |       0.6094 |          0.0010 |
|     100 |      120000 |       00:35:54 |       70.00% |       72.77% |       0.7549 |       0.7787 |          0.0010 |
|======================================================================================================================|

ans = 

    "--->Total time: 2160.29"

    0.7277
