Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       11.90% |        9.82% |       9.4708 |      14.2826 |          0.0010 |
|       1 |          60 |       00:00:02 |       94.20% |       93.87% |       0.2021 |       0.2003 |          0.0010 |
|       2 |         120 |       00:00:04 |       96.40% |       96.42% |       0.1070 |       0.1178 |          0.0010 |
|       3 |         180 |       00:00:06 |       97.00% |       97.10% |       0.1126 |       0.0887 |          0.0010 |
|       4 |         240 |       00:00:08 |       97.70% |       97.73% |       0.0621 |       0.0746 |          0.0010 |
|       5 |         300 |       00:00:10 |       98.60% |       97.77% |       0.0463 |       0.0709 |          0.0010 |
|       6 |         360 |       00:00:12 |       98.50% |       98.10% |       0.0434 |       0.0601 |          0.0010 |
|       7 |         420 |       00:00:15 |       98.70% |       98.22% |       0.0477 |       0.0571 |          0.0010 |
|       8 |         480 |       00:00:17 |       98.40% |       98.18% |       0.0518 |       0.0587 |          0.0010 |
|       9 |         540 |       00:00:19 |       99.10% |       98.27% |       0.0308 |       0.0530 |          0.0010 |
|      10 |         600 |       00:00:21 |       99.70% |       98.32% |       0.0127 |       0.0533 |          0.0010 |
|      11 |         660 |       00:00:23 |       98.90% |       98.45% |       0.0400 |       0.0509 |          0.0010 |
|      12 |         720 |       00:00:25 |       99.50% |       98.56% |       0.0185 |       0.0481 |          0.0010 |
|      13 |         780 |       00:00:27 |       99.20% |       98.46% |       0.0212 |       0.0496 |          0.0010 |
|      14 |         840 |       00:00:29 |       99.00% |       98.46% |       0.0224 |       0.0529 |          0.0010 |
|      15 |         900 |       00:00:32 |       99.30% |       98.64% |       0.0139 |       0.0455 |          0.0010 |
|      16 |         960 |       00:00:34 |       99.30% |       98.70% |       0.0223 |       0.0435 |          0.0010 |
|      17 |        1020 |       00:00:36 |       99.30% |       98.56% |       0.0211 |       0.0517 |          0.0010 |
|      18 |        1080 |       00:00:38 |       99.30% |       98.44% |       0.0201 |       0.0583 |          0.0010 |
|      19 |        1140 |       00:00:40 |      100.00% |       98.67% |       0.0058 |       0.0464 |          0.0010 |
|      20 |        1200 |       00:00:42 |       99.80% |       98.61% |       0.0070 |       0.0508 |          0.0010 |
